isin	wkn	ticker	valor	name	inception_date	age_in_days	age_in_years	strategy	domicile_country	currency	hedged	securities_lending	dividends	ter	replication	size	is_sustainable	number_of_holdings	yesterday	last_week	last_month	last_three_months	last_six_months	last_year	last_three_years	last_five_years	2023	2022	2021	2020	last_dividends	last_year_dividends	last_year_volatility	last_three_years_volatility	last_five_years_volatility	last_year_return_per_risk	last_three_years_return_per_risk	last_five_years_return_per_risk	max_drawdown	last_year_max_drawdown	last_three_years_max_drawdown	last_five_years_max_drawdown
IE000D3BWBR2	A3DA9Y	I50D	115717927	iShares S&P 500 Swap UCITS ETF USD (Dist)	2022-04-21	895	2.452054794520548	Long-only	Ireland	USD	False	False	Distributing	0.05	Swap based Unfunded	296	False		20.8	0.17	1.39	1.57	6.71	29.09			21.81				1.15	1.47	13.01			2.23			-15.98	-9.04		
LU0476289466	DBX0ES	D5BI	11115473	Xtrackers MSCI Mexico UCITS ETF 1C	2010-03-26	5304	14.531506849315068	Long-only	Luxembourg	USD	False	True	Accumulating	0.65	Full replication	296	False	24	-19.58	-3.64	0.76	-7.02	-22.06	-8.62	23.26	37.66	35.32	3.4	32.3	-10.78			24.15	21.54	25.31	-0.36	0.33	0.26	-53.88	-26.55	-26.55	-45.54
IE00BD4TYL27	A1W5DG	USCHWH	22375108	UBS ETF (IE) MSCI USA hedged CHF UCITS ETF (CHF) A-acc	2013-09-30	4020	11.013698630136986	Long-only	Ireland	CHF	True	True	Accumulating	0.1	Full replication	295	False	603	15.21	1.24	1.9	5.76	10.95	33.22	33.58	102.02	27.95	-18.61	30.57	18.58			12.69	17.96	20.76	2.61	0.56	0.73	-34.55	-6.0	-24.31	-34.55
IE00BJP26D89	A2PW6Q	EUED	51612507	iShares EUR Ultrashort Bond ESG UCITS ETF (Dist)	2020-03-16	1661	4.550684931506849	Long-only	Ireland	EUR	False	False	Distributing	0.09	Sampling	295	True	461	3.21	0.2	0.59	1.2	2.19	4.45	6.29		3.61	-0.6	-0.2		3.75	3.77	0.92	0.96		4.85	2.14		-1.59	-0.2	-1.2	
LU0290356954	DBX0AE	DBXQ	3220253	Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C	2007-05-25	6340	17.36986301369863	Long-only	Luxembourg	EUR	False	True	Accumulating	0.15	Sampling	295	False	25	2.56	0.4	1.51	3.78	3.25	7.16	-3.48	-3.6	5.65	-10.21	-1.38	1.53			2.83	4.21	3.48	2.52	-0.28	-0.21	-12.18	-1.89	-11.6	-12.18
IE00BP9F2J32	A118V8	LDCE	25000880	PIMCO Euro Low Duration Corporate Bond UCITS ETF Dist	2014-11-17	3607	9.882191780821918	Long-only	Ireland	EUR	False	False	Distributing	0.49	Sampling	294	False	202	3.13	0.18	0.41	2.1	2.52	7.43	0.25	2.04	6.78	-8.6	0.22	1.2	1.95	2.05	2.08	2.66	2.35	3.56	0.03	0.17	-10.9	-0.74	-10.59	-10.9
DE000ETF9090	ETF909	E909	54192460	Amundi DAX 50 ESG II UCITS ETF Dist	2020-04-06	1640	4.493150684931507	Long-only	Germany	EUR	False	False	Distributing	0.15	Full replication	294	True	50	9.6	1.32	1.37	1.24	0.87	19.15	16.42		19.64	-15.25	14.82		0.0	0.0	12.2	17.2		1.56	0.3		-28.52	-11.3	-28.52	
IE00BMW42520	A2QBZ6	ESIN	56747527	iShares MSCI Europe Industrials Sector UCITS ETF EUR (Acc)	2021-05-14	1237	3.389041095890411	Long-only	Ireland	EUR	False	False	Accumulating	0.18	Full replication	294	False	87	14.83	0.29	1.6	4.03	4.19	30.04	32.76		27.25	-16.9					13.86	18.18		2.16	0.54		-29.16	-9.57	-29.16	
LU2109787049	A2PZC5	SBIM	52828742	Amundi Index MSCI Emerging ESG Broad CTB UCITS ETF DR (C)	2020-09-14	1479	4.052054794520548	Long-only	Luxembourg	USD	False	True	Accumulating	0.18	Full replication	294	True	950	14.4	2.07	5.21	4.87	10.79	17.98	1.55		4.82	-16.6	6.44				13.51	14.74		1.33	0.03		-25.88	-10.07	-24.33	
IE00BYPHT736	A2ACJ8	XDEP	31993229	Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D	2016-06-09	3037	8.32054794520548	Long-only	Ireland	EUR	False	True	Distributing	0.25	Optimized sampling	293	False	1703	5.35	0.66	1.88	4.32	4.04	11.79	-3.35	-0.37	9.84	-15.77	-0.39	2.93	2.27	2.48	3.21	4.81	4.67	3.66	-0.23	-0.02	-20.27	-1.49	-19.41	-20.27
LU1655103486	A2DVG2	OP4E	39171231	Ossiam Bloomberg Europe ex Eurozone PAB NR UCITS ETF 1C (EUR)	2017-11-10	2518	6.898630136986301	Long-only	Luxembourg	EUR	False	False	Accumulating	0.17	Full replication	292	True	125	11.71	0.11	-1.72	2.42	7.15	18.36	29.0	52.24	13.52	-7.79	28.09	-5.8			10.15	13.01	16.26	1.8	0.68	0.54	-34.17	-6.77	-16.38	-34.17
IE000XNILW20	A402PM	WSDG		WisdomTree Global Sustainable Equity UCITS ETF USD Unhedged Acc	2024-06-05	119	0.32602739726027397	Long-only	Ireland	USD	False	False	Accumulating	0.29	Full replication	292	True	106		0.25	1.15	2.06																	-9.78			
IE00BLSN7P11	A2QMF1	AW1C	57914433	UBS ETF (IE) S&P 500 ESG Elite UCITS ETF (USD) A-acc	2021-02-18	1322	3.621917808219178	Long-only	Ireland	USD	False	False	Accumulating	0.15	Full replication	291	True	99	17.96	0.74	1.37	1.2	1.6	26.64	42.98		24.32	-13.64					13.71	18.46		1.94	0.68		-17.37	-9.19	-17.37	
LU1645386480	A2DUHX	SEAB	37504777	UBS ETF (LU) J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF (hedged to EUR) A-acc	2018-02-28	2408	6.597260273972603	Long-only	Luxembourg	EUR	True	False	Accumulating	0.38	Sampling	291	False	642	6.58	0.51	1.72	4.14	4.05	10.66	-2.79	-0.08	5.51	-12.55	-0.5	1.34			6.26	8.29	7.22	1.7	-0.11	0.0	-18.43	-1.58	-17.83	-18.43
IE00BF2FNB90	A2N6WW	TRXS	45379791	Invesco US Treasury Bond 7-10 Year UCITS ETF GBP Hedged Dist	2019-01-11	2091	5.728767123287671	Long-only	Ireland	GBP	True	True	Distributing	0.1	Sampling	290	False	12	8.57	0.07	3.22	9.17	8.72	15.68	-7.66	-0.62	4.93	-20.8	3.96	3.28	3.77	4.2	10.92	14.0	12.43	1.43	-0.19	-0.01	-24.69	-5.92	-24.23	-24.69
IE00BQN1K786	A12DPN	CEMR	26681060	iShares Edge MSCI Europe Momentum Factor UCITS ETF	2015-01-16	3547	9.717808219178082	Long-only	Ireland	EUR	False	True	Accumulating	0.25	Optimized sampling	290	False	126	18.34	-0.44	-0.53	0.89	3.29	26.0	23.25	65.06	13.44	-15.82	22.28	11.61			12.34	15.35	17.67	2.1	0.47	0.6	-30.87	-9.78	-23.67	-30.87
XS2183935274	A28QBG	8PSE	55529265	Invesco Physical Gold EUR Hedged ETC	2020-07-09	1546	4.235616438356164	Long-only	Ireland	EUR	True	False	Accumulating	0.34	Physically backed	290	False		26.91	1.1	5.87	13.77	18.77	39.16	39.68		10.04	-2.18	-5.87				13.78	13.63		2.83	0.86		-25.24	-5.47	-21.84	
LU2090063673	LYX05A	NADA	53840236	Amundi MSCI Japan UCITS ETF Dist	2020-09-17	1476	4.043835616438356	Long-only	Luxembourg	JPY	False	True	Distributing	0.12	Full replication	289	False	202	12.42	1.33	-0.63	2.18	0.37	16.17	15.02		15.56	-11.93	9.87		1.56	1.78	22.46	19.35		0.72	0.25		-19.87	-17.27	-19.5	
IE000MINO564	A3DJWD	ENDH	118955206	L&G ESG Emerging Markets Government Bond (USD) 0-5 Year UCITS ETF EUR Hedged Acc	2022-05-05	881	2.4136986301369863	Long-only	Ireland	EUR	True	False	Accumulating	0.28	Optimized sampling	289	True	258	7.14	0.37	1.67	4.28	4.08	11.27			5.36						6.21			1.81			-6.58	-1.51		
LU1452600270	LYX0VY	TIUP	33302461	Amundi US TIPS Government Inflation-Linked Bond UCITS ETF Dist	2016-07-29	2987	8.183561643835617	Long-only	Luxembourg	USD	False	False	Distributing	0.09	Full replication	289	False	48	5.12	0.76	2.17	2.02	3.77	5.55	2.05	11.72	0.14	-7.29	14.74	2.02	0.68	0.72	7.83	10.78	9.91	0.71	0.06	0.23	-16.18	-2.6	-15.39	-15.39
DE000ETFL599	ETFL59	D6RA		Deka MSCI EUR Corporates Climate Change ESG UCITS ETF	2021-11-02	1065	2.9178082191780823	Long-only	Germany	EUR	False	False	Distributing	0.18	Full replication	289	True	111	3.13	0.66	1.85	3.88	2.7	9.16			7.74	-15.38			2.39	2.54	3.84			2.38			-17.77	-1.76		
IE00BM67HS53	A113FL	XDWM	31729565	Xtrackers MSCI World Materials UCITS ETF 1C	2016-03-16	3122	8.553424657534247	Long-only	Ireland	USD	False	True	Accumulating	0.25	Full replication	289	False	104	9.19	2.24	4.16	7.15	3.21	17.94	29.21	69.08	10.81	-5.16	25.99	9.73			12.58	16.11	19.03	1.42	0.55	0.58	-34.69	-8.78	-19.79	-34.69
LU0690964092	DBX0MF	XGVD	14318128	Xtrackers Global Government Bond UCITS ETF 1D EUR hedged	2011-11-22	4698	12.871232876712329	Long-only	Luxembourg	EUR	True	True	Distributing	0.25	Sampling	288	False	1145	2.22	0.26	1.44	4.77	3.11	7.9	-10.49	-11.0	3.85	-15.34	-3.24	4.55	2.53	2.66	4.74	5.41	4.79	1.66	-0.67	-0.48	-21.51	-3.76	-18.93	-21.51
IE00BFXR5V83	A2N4PS	ETLN	44803783	L&G Europe ex UK Equity UCITS ETF	2018-10-08	2186	5.989041095890411	Long-only	Ireland	EUR	False	False	Accumulating	0.1	Full replication	288	True	322	10.64	0.41	-1.04	0.76	1.72	19.58	23.81	55.86	18.49	-12.5	25.4	1.36			10.73	14.87	17.4	1.82	0.5	0.53	-34.6	-7.98	-22.47	-34.6
IE0001UQQ933	WELT0A	GERD	126172792	L&G Gerd Kommer Multifactor Equity UCITS ETF USD Accumulating	2023-06-14	476	1.3041095890410959	Long-only	Ireland	USD	False	False	Accumulating	0.5	Optimized sampling	287	True	3612	15.07	1.07	2.17	3.86	4.63	20.99									10.46			2.0			-8.09	-8.09		
IE00BDR5GV14	A2H5CE	GENE	38547094	UBS ETF (IE) Global Gender Equality UCITS ETF (USD) A-acc	2017-12-19	2479	6.791780821917809	Long-only	Ireland	USD	False	False	Accumulating	0.2	Full replication	287	True	104	13.57	0.0	1.67	7.2	6.77	23.26	27.41	62.4	13.49	-6.73	25.72	1.54			10.81	13.73	17.65	2.14	0.61	0.58	-36.64	-5.84	-13.72	-36.64
DE0006289473	628947	EXHB	1634347	iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE)	2003-06-11	7784	21.326027397260273	Long-only	Germany	EUR	False	False	Distributing	0.16	Sampling	286	False	7	2.26	0.16	0.85	2.15	2.55	4.31	-0.65	-2.59	2.63	-5.07	-0.96	-0.8	0.76	0.79	1.36	1.9	1.5	3.16	-0.11	-0.35	-9.97	-0.75	-6.28	-8.03
IE00BMXC7W70	A2QQYX	WPAB	110354455	iShares MSCI World Paris-Aligned Climate UCITS ETF USD (Acc)	2021-04-22	1259	3.4493150684931506	Long-only	Ireland	USD	False	False	Accumulating	0.2	Full replication	286	True	598	17.73	0.0	1.2	3.32	7.07	27.65	30.46		21.26	-17.2					11.66	15.98		2.36	0.58		-19.88	-8.19	-19.88	
IE00BNDS1P30	A2QL8W	V3GF	59335107	Vanguard ESG Global Corporate Bond UCITS ETF EUR Hedged Accumulating	2021-05-20	1231	3.372602739726027	Long-only	Ireland	EUR	True	False	Accumulating	0.15	Full replication	285	True	4073	4.42	0.21	2.16	5.36	5.83	11.58	-7.09		6.6	-16.37					8.18	10.0		1.41	-0.24		-20.82	-3.3	-20.35	
LU1291103338	A2AL1U	EKLD	31062956	BNP Paribas Easy MSCI USA SRI S-Series PAB 5% Capped UCITS ETF USD Acc	2019-01-24	2078	5.693150684931507	Long-only	Luxembourg	USD	False	False	Accumulating	0.26	Full replication	285	True	121	11.1	-0.41	0.41	4.69	2.7	20.77	29.55	98.57	18.75	-16.17	43.23	17.1			13.99	19.05	22.09	1.48	0.47	0.66	-32.3	-7.48	-21.11	-32.3
LU0671493277	A1JHNE	UEFD	13711559	UBS ETF (LU) MSCI EMU Small Cap UCITS ETF (EUR) A-dis	2011-10-17	4734	12.96986301369863	Long-only	Luxembourg	EUR	False	True	Distributing	0.33	Full replication	285	False	392	2.99	0.77	-0.51	0.02	-0.93	11.56	1.69	40.37	14.56	-16.58	23.65	5.66	2.67	2.9	13.26	16.8	19.61	0.87	0.03	0.36	-39.21	-10.96	-29.32	-39.21
DE000A2UDH48	A2UDH4	XGDG	54946603	Xtrackers IE Physical Gold GBP Hedged ETC Securities	2020-05-22	1594	4.367123287671233	Long-only	Ireland	GBP	True	False	Accumulating	0.28	Physically backed	285	False		33.49	1.1	7.07	16.21	22.75	46.16	48.87		13.77	-6.93	1.52				14.8	15.24		3.11	0.93		-26.02	-5.79	-26.02	
LU2244386053	A2QMK5	ASRF	110042155	BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF Acc	2021-02-18	1322	3.621917808219178	Long-only	Luxembourg	EUR	False	False	Accumulating	0.25	Full replication	285	True	327	5.94	0.38	1.15	3.44	4.16	11.91	3.75		10.09	-10.6					2.68	4.39		4.43	0.28		-16.65	-0.99	-16.07	
IE00BD4TYG73	A1W5DE	UBUJ	22374957	UBS ETF (IE) MSCI USA hedged EUR UCITS ETF (EUR) A-acc	2013-09-30	4020	11.013698630136986	Long-only	Ireland	EUR	True	True	Accumulating	0.1	Full replication	285	False	603	18.57	-0.63	0.87	3.88	7.87	31.71	23.1	84.05	23.18	-22.26	25.3	18.08			12.48	17.8	21.06	2.53	0.4	0.62	-34.93	-8.54	-27.39	-34.93
IE00BYV12Y75	A2ACRD	SYBR	31657266	SPDR Bloomberg 1-10 Year US Corporate Bond UCITS ETF	2016-02-17	3150	8.63013698630137	Long-only	Ireland	USD	False	True	Distributing	0.12	Sampling	284	False	2636	5.89	0.74	1.86	2.24	3.14	7.48	7.12	9.05	3.56	-3.9	7.22	-1.48	4.73	4.85	6.8	8.97	8.19	1.1	0.26	0.21	-15.2	-2.45	-10.6	-10.6
IE00B8KGV557	A1J782	EUNZ	20023133	iShares Edge MSCI EM Minimum Volatility UCITS ETF	2012-11-30	4324	11.846575342465753	Long-only	Ireland	USD	False	True	Accumulating	0.4	Optimized sampling	283	False	343	13.33	0.37	3.06	5.39	9.78	15.7	11.97	22.1	4.42	-8.19	12.5	-1.66			10.59	10.6	12.52	1.48	0.36	0.33	-30.11	-4.99	-12.3	-26.58
LU1681037609	A2H58U	XAMY	38785006	Amundi Japan Topix UCITS ETF EUR	2015-09-22	3298	9.035616438356165	Long-only	Luxembourg	EUR	False	False	Accumulating	0.2	Swap based Unfunded	283	False		11.65	1.9	-0.05	3.16	-0.04	15.43	12.73	35.78	15.41	-9.75	8.11	3.13			22.14	18.61	18.26	0.69	0.22	0.35	-27.01	-17.1	-18.48	-27.01
IE000F6XDNZ5	A3DENK	ITPD	116677183	iShares USD TIPS UCITS ETF USD (Dist)	2022-02-23	952	2.6082191780821917	Long-only	Ireland	USD	False	True	Distributing	0.1	Sampling	283	False	48	4.03	0.24	0.97	-0.4	1.8	4.18			0.14				3.84	3.86	7.92			0.53			-15.36	-2.74		
DE000A0H08K7	A0H08K	EXH5	12980686	iShares STOXX Europe 600 Insurance UCITS ETF (DE)	2002-07-08	8122	22.252054794520546	Long-only	Germany	EUR	False	False	Distributing	0.46	Full replication	283	False	31	21.09	-0.76	2.31	7.18	9.09	28.31	50.1	63.14	13.17	2.84	19.71	-10.68	3.69	4.55	11.59	16.41	22.72	2.43	0.88	0.45	-73.3	-6.6	-18.4	-46.65
IE00B4LN9N13	A142N0	2B7C	35722327	iShares S&P 500 Industrials Sector UCITS ETF	2017-03-20	2753	7.542465753424658	Long-only	Ireland	USD	False	True	Accumulating	0.15	Full replication	281	False	78	19.53	1.2	3.36	9.25	5.39	29.43	48.76	88.15	13.64	-0.13	30.72	1.42			13.62	17.85	23.38	2.15	0.79	0.58	-41.87	-6.84	-14.23	-41.87
IE00B0M63391	A0HGWD	IQQK	2308859	iShares MSCI Korea UCITS ETF (Dist)	2005-11-18	6893	18.884931506849316	Long-only	Ireland	USD	False	True	Distributing	0.74	Full replication	281	False	98	-6.6	-1.23	-4.77	-10.24	-10.38	2.15	-15.47	17.01	15.59	-24.03	-0.94	30.84	1.13	1.14	25.29	22.75	25.48	0.09	-0.24	0.13	-67.91	-17.64	-32.6	-39.98
LU1681038326	A2H578	10A4	38785009	Amundi Nasdaq 100 UCITS ETF USD	2010-07-02	5206	14.263013698630138	Long-only	Luxembourg	USD	False	False	Accumulating	0.23	Swap based Unfunded	280	False		16.62	-1.28	0.23	-3.96	4.96	28.03	41.16	158.1	49.36	-28.36	37.84	35.88			18.12	24.29	26.04	1.54	0.5	0.8	-31.28	-14.56	-31.28	-31.28
DE0006289390	628939	EXI3	1293788	iShares Dow Jones Industrial Average UCITS ETF (DE)	2001-09-19	8414	23.052054794520547	Long-only	Germany	USD	False	False	Distributing	0.51	Full replication	279	False	30	12.2	0.33	1.51	4.56	3.69	21.3	32.1	63.69	10.85	-2.7	31.23	-2.12	0.81	0.98	11.42	15.71	21.09	1.86	0.62	0.49	-52.38	-6.43	-12.49	-36.43
IE00BP2NF958	A3CPER	JREJ	111459283	JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc)	2022-03-29	918	2.515068493150685	Long-only, Active	Ireland	USD	False	False	Accumulating	0.25	Full replication	279	True	128	11.9	0.89	-0.73	2.68	-1.56	16.56			16.4						23.85			0.69			-17.13	-17.13		
IE00BZ0G8977	A14072	SYBY	30633213	SPDR Bloomberg US TIPS UCITS ETF	2015-12-02	3227	8.841095890410958	Long-only	Ireland	USD	False	True	Distributing	0.17	Sampling	278	False	48	5.06	0.72	2.16	1.99	2.91	5.46	1.87	10.86	0.07	-7.27	14.57	1.97	4.03	4.09	7.76	10.62	9.78	0.7	0.06	0.21	-16.28	-2.6	-15.45	-15.45
IE00BM97MR69	A2P7TP	XT01	56695915	Xtrackers US Treasuries Ultrashort Bond UCITS ETF 1C	2020-09-03	1490	4.082191780821918	Long-only	Ireland	USD	False	True	Accumulating	0.06	Sampling	278	False	70	3.95	0.7	0.74	-1.38	0.39	1.12	15.63		1.38	7.17	8.34				5.86	7.92		0.19	0.63		-12.19	-4.53	-12.19	
LU1829219556	LYX0Z6	LYS4	42764639	Amundi Euro Highest Rated Macro-Weighted Government Bond 1-3Y UCITS ETF Acc	2011-11-25	4695	12.863013698630137	Long-only	Luxembourg	EUR	False	True	Accumulating	0.17	Full replication	278	False	36	2.19	0.16	0.85	2.25	2.53	4.4	-0.75	-2.62	2.97	-5.4	-0.99	-0.67			1.4	2.02	1.6	3.14	-0.12	-0.33	-9.9	-0.86	-6.41	-8.08
IE00BJGWQN72	A2PQVE	WTEJ	49894645	WisdomTree Cloud Computing UCITS ETF USD Acc	2019-09-03	1856	5.0849315068493155	Long-only	Ireland	USD	False	False	Accumulating	0.4	Full replication	277	True	65	-11.32	-2.09	-2.02	-4.63	-13.49	0.29	-44.1	30.03	34.69	-48.76	4.77	91.41			24.95	39.4	38.33	0.01	-0.45	0.14	-60.54	-23.5	-60.54	-60.54
LU1686832194	LYX0ZA	LMTH	44023928	Amundi Euro Government Bond 25+Y UCITS ETF Acc	2015-03-02	3502	9.594520547945205	Long-only	Luxembourg	EUR	False	True	Accumulating	0.07	Full replication	276	False	48	-2.83	-0.07	0.37	5.26	-0.9	16.39	-37.28	-40.14	10.39	-41.34	-11.27	17.42			16.25	21.0	18.25	1.01	-0.69	-0.53	-54.42	-12.07	-51.49	-54.42
IE00B7N3YW49	A1JU1K	PJSC	18108136	PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF Dist	2012-03-14	4585	12.561643835616438	Long-only	Ireland	USD	False	False	Distributing	0.55	Sampling	276	False	760	6.14	0.36	0.53	0.56	2.29	7.28	18.72	22.5	7.93	0.83	13.49	-5.06	6.72	6.74	5.82	7.93	8.33	1.25	0.74	0.5	-19.31	-2.39	-8.02	-19.31
IE000LTA2082	A3DSTE	WELH	121117865	Amundi S&P Global Industrials ESG UCITS ETF DR EUR (A)	2022-09-20	743	2.0356164383561643	Long-only	Ireland	EUR	False	True	Accumulating	0.18	Full replication	275	True	216	15.25	0.71	2.6	6.2	3.57	24.98			20.06						12.95			1.92			-11.02	-7.95		
IE00BMGNVD65	A2P8AZ	AYEH	55775857	iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Dist)	2020-07-13	1542	4.2246575342465755	Long-only	Ireland	USD	True	True	Distributing	0.1	Sampling	274	False	15444	3.49	0.25	0.74	-0.3	1.16	4.52	3.04		3.11	-6.12	6.41		2.67	2.74	7.0	9.1		0.64	0.11		-12.1	-2.42	-12.1	
IE00BZ048462	A2DS7X	QDVY	37071025	iShares USD Floating Rate Bond UCITS ETF	2017-07-10	2641	7.235616438356164	Long-only	Ireland	USD	False	True	Distributing	0.1	Sampling	274	False	366	4.84	0.65	0.65	-1.49	0.43	2.21	18.92	13.99	2.91	7.45	9.0	-7.69	6.06	5.83	6.2	8.16	7.54	0.36	0.73	0.35	-12.26	-4.13	-11.06	-12.26
LU1681043086	A2H57G	18MK	38784752	Amundi MSCI India UCITS ETF EUR (C)	2009-02-26	5697	15.608219178082193	Long-only	Luxembourg	EUR	False	False	Accumulating	0.8	Swap based Unfunded	273	False		22.84	-0.84	1.12	2.18	12.76	31.35	39.19	97.7	15.22	-3.19	33.55	4.33			15.28	15.98	20.09	2.05	0.73	0.73	-43.26	-6.93	-21.54	-40.78
LU1812090543	LYX0YX	LYQY	42745975	Amundi EUR High Yield Corporate Bond ESG UCITS ETF Dist	2011-01-06	5018	13.747945205479452	Long-only	Luxembourg	EUR	False	False	Distributing	0.25	Sampling	273	True	321	5.72	0.63	1.24	3.52	4.37	11.38	2.22	7.37	9.76	-11.38	1.73	1.34	3.17	3.41	2.27	5.1	6.5	5.01	0.14	0.22	-20.98	-0.95	-16.28	-20.98
IE000NM0ALX6	A3DSS4	WELJ	121134175	Amundi S&P Global Consumer Discretionary ESG UCITS ETF DR EUR (A)	2022-09-20	743	2.0356164383561643	Long-only	Ireland	EUR	False	True	Accumulating	0.18	Full replication	273	True	135	10.02	0.5	4.36	3.82	1.53	16.1			29.83						16.11			1.0			-17.1	-11.81		
IE00BFZPF546	A2JK8Z	QDV7	41636867	iShares J.P. Morgan Emerging Markets Local Government Bond UCITS ETF USD (Acc)	2018-05-31	2316	6.345205479452055	Long-only	Ireland	USD	False	True	Accumulating	0.5	Sampling	273	False	317	2.93	-0.65	2.01	4.35	3.17	6.54	3.4	-3.18	8.05	-5.53	-3.13	-6.86			6.48	8.14	8.93	1.01	0.14	-0.07	-18.46	-3.13	-9.03	-18.46
LU1681044647	A2H569	CN1G	38784749	Amundi MSCI Nordic UCITS ETF EUR (C)	2008-09-16	5860	16.054794520547944	Long-only	Luxembourg	EUR	False	False	Accumulating	0.25	Swap based Unfunded	273	False		8.66	-1.11	-4.11	-4.96	-0.04	19.12	20.29	81.65	16.86	-12.05	28.37	16.54			13.85	17.11	18.48	1.38	0.37	0.69	-46.19	-10.88	-24.27	-32.66
LU2655993207	ETF092	EWLD	129700149	Amundi MSCI World UCITS ETF - EUR (D)	2024-03-15	201	0.5506849315068493	Long-only	Luxembourg	EUR	False	False	Distributing	0.38	Swap based Unfunded	272	False			0.57	0.79	1.92	5.4																-9.05			
IE00B58FQX63	A1C79S	CCCHA	11926029	UBS ETF (IE) CMCI Composite SF UCITS ETF (hedged to CHF) A-acc	2011-02-08	4985	13.657534246575343	Long-only	Ireland	CHF	True	False	Accumulating	0.34	Swap based	271	False		1.9	3.02	2.69	0.14	2.5	0.51	29.73	72.15	-0.57	18.71	37.88	-0.33			12.46	17.45	16.95	0.04	0.52	0.68	-62.03	-7.98	-16.82	-28.21
IE00BKLTRN76	A2PRHB	DELF	49989151	L&G Europe ESG Exclusions Paris Aligned UCITS ETF EUR Accumulating	2019-09-17	1842	5.046575342465753	Long-only	Ireland	EUR	False	False	Accumulating	0.16	Full replication	270	True	472	12.77	0.69	-0.5	2.68	4.55	20.92	23.24		16.52	-13.26	25.0	0.36			10.63	14.57		1.96	0.49		-34.29	-6.99	-22.58	
LU1437018838	A2ATZC	A4H5	34333491	Amundi Index FTSE EPRA NAREIT Global UCITS ETF DR	2016-11-17	2876	7.879452054794521	Long-only	Luxembourg	EUR	False	True	Accumulating	0.24	Full replication	270	False	358	11.06	0.3	2.6	12.63	9.96	22.69	4.38	5.73	6.0	-20.33	35.56	-16.53			13.42	15.07	19.22	1.69	0.1	0.06	-42.92	-6.94	-29.32	-42.92
IE00BDFJYM28	A2JE32	EUNE	40670637	iShares US Aggregate Bond UCITS ETF EUR Hedged (Acc)	2018-04-10	2367	6.484931506849315	Long-only	Ireland	EUR	True	True	Accumulating	0.3	Sampling	270	False	8797	3.43	-0.21	1.68	5.92	4.55	9.77	-10.56	-8.17	2.86	-15.3	-2.9	5.75			9.29	10.95	9.02	1.05	-0.33	-0.19	-22.66	-4.88	-20.81	-22.66
IE00B8CJW150	A1T96S	SMLD	21426047	Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Dist	2013-05-15	4158	11.391780821917807	Long-only	Ireland	USD	False	False	Distributing	0.5	Swap based Unfunded	270	False		13.65	0.0	-1.93	-5.33	-0.18	12.51	82.28	58.23	14.34	38.96	49.85	-36.74	6.67	7.02	14.12	20.01	34.77	0.88	1.11	0.28	-79.31	-8.5	-18.84	-69.9
IE000EJ2EHO7	A40EWS	CSY9	135747214	UBS ETF (IE) Factor MSCI World Minimum Volatility ESG Leaders UCITS ETF (USA) A-acc	2024-08-26	37	0.10136986301369863	Long-only	Ireland	USD	False	False	Accumulating	0.25	Full replication	270	True	188		0.31	0.51																		-1.99			
IE00BF20LF40	A2DRG3	2B72	36700299	iShares MSCI Europe Mid Cap UCITS ETF EUR (Acc)	2017-05-22	2690	7.36986301369863	Long-only	Ireland	EUR	False	True	Accumulating	0.15	Optimized sampling	270	False	229	10.23	0.8	0.94	4.29	5.01	19.12	8.96	41.2	14.38	-18.97	21.38	4.11			11.47	16.0	18.55	1.66	0.18	0.38	-38.13	-7.36	-29.26	-38.13
IE00BGDQ0T50	A2N9LJ	36B5	44632829	iShares MSCI EM SRI UCITS ETF USD (Dist)	2018-12-06	2127	5.8273972602739725	Long-only	Ireland	USD	False	False	Distributing	0.25	Full replication	268	True	230	12.81	1.42	5.49	7.3	11.81	14.23	-3.43	20.28	-1.65	-12.55	7.11	6.79	2.1	2.34	13.72	15.14	18.04	1.03	-0.08	0.21	-36.25	-9.13	-24.52	-36.25
IE000PMX0MW6	A3DSTL	WELD	121145037	Amundi S&P Global Utilities ESG UCITS ETF DR EUR (A)	2022-09-20	743	2.0356164383561643	Long-only	Ireland	EUR	False	True	Accumulating	0.18	Full replication	268	True	48	15.15	1.66	4.06	12.45	15.15	22.72			2.03						11.52			1.97			-13.7	-7.54		
LU1681042518	A2H57R	10A2	38785125	Amundi MSCI Europe Value Factor UCITS ETF EUR	2009-02-26	5697	15.608219178082193	Long-only	Luxembourg	EUR	False	False	Accumulating	0.23	Swap based Unfunded	268	False		13.09	0.95	0.8	5.51	7.84	18.28	36.87	44.31	15.61	-1.21	21.6	-13.07			9.89	14.26	19.4	1.84	0.77	0.39	-39.89	-6.15	-17.09	-39.89
